Holding,Symbol,Weighting
TGS NOPEC Geophysical Company ASA,TGS,0.0319%
Bayerische Motoren Werke AG,BMW3,0.0318%
Signify NV,LIGHT,0.0318%
Cembra Money Bank AG,CMBN,0.0318%
Osram Licht AG,OSRD,0.0316%
Ackermans & Van Haaren NV,ACKB,0.0316%
DiaSorin SpA,DIA,0.0316%
Forbo Holding AG,FORN,0.0316%
Sofina SA,SOF,0.0314%
Telecom Italia SpA,TITR,0.0312%
Hikma Pharmaceuticals PLC,HIK,0.0312%
Fuchs Petrolub SE,FPE3,0.0312%
KGHM Polska Miedz SA,KGH,0.0308%
AAK AB (publ),AAK,0.0308%
Nexi SpA,NEXI,0.0307%
Tomra Systems ASA,TOM,0.0307%
Husqvarna AB,HUSQ.B,0.0304%
Inmobiliaria Colonial SOCIMI SA,COL,0.0303%
Hays PLC,HAS,0.0303%
Ipsen SA,IPN,0.0303%
Hera SpA,HER,0.0302%
Bovis Homes Group PLC,VTY,0.0301%
Raiffeisen Bank International AG,RBI,0.0301%
Wienerberger AG,WIE,0.03%
Swatch Group AG,UHRN,0.03%
John Wood Group PLC,WG.,0.0299%
Banco Bpm SpA,BAMI,0.0299%
Samhallsbyggnadsbolaget I Norden AB,SBB.B,0.0297%
IG Group Holdings PLC,IGG,0.0297%
Prosiebensat 1 Media SE,PSM,0.0294%
Flughafen Zuerich AG,FHZN,0.0292%
Pargesa Holding SA,PARG,0.0291%
Rational AG,RAA,0.0291%
Close Brothers Group PLC,CBG,0.029%
L E Lundbergforetagen AB (publ),LUND.B,0.029%
Greggs PLC,GRG,0.0288%
Warehouses de Pauw Comm VA,WDP,0.0287%
Tritax Big Box Reit PLC,BBOX,0.0287%
Indutrade AB,INDT,0.0287%
voestalpine AG,VOE,0.0283%
Verbund AG,VER,0.0283%
Avast PLC,AVST,0.0282%
Man Group PLC,EMG,0.0282%
Evotec SE,EVT,0.0281%
Valmet Oyj,VALMT,0.0281%
Icade SA,ICAD,0.0278%
Galenica AG,GALE,0.0278%
P/F Bakkafrost,BAKKA,0.0278%
Hellofresh SE,HFG,0.0277%
Swedish Orphan Biovitrum AB (publ),SOBI,0.0277%
Hugo Boss AG,BOSS,0.0277%
Aedifica SA,AED,0.0277%
Andritz AG,ANDR,0.0276%
Holmen AB,HOLM.B,0.0275%
Britvic PLC,BVIC,0.0275%
Network International Holdings PLC,NETW,0.0273%
Italgas SpA,IG,0.0273%
Dometic Group AB (publ),DOM,0.0271%
SBM Offshore NV,SBMO,0.0271%
Etablissementen Franz Colruyt NV,COLR,0.0269%
BE Semiconductor Industries NV,BESI,0.0268%
TP ICAP PLC,TCAP,0.0268%
Fraport AG Frankfurt Airport Services Worldwide,FRA,0.0268%
Loomis AB,LOOM.B,0.0267%
Ashmore Group PLC,ASHM,0.0266%
alstria office REIT AG,AOX,0.0265%
Virgin Money UK PLC,VMUK,0.0264%
Kojamo Oyj,KOJAMO,0.0264%
EVRAZ plc,EVR,0.0264%
Royal Mail PLC,RMG,0.0264%
Diploma PLC,DPLM,0.0264%
Signature Aviation PLC,SIG,0.0263%
Saab AB,SAAB.B,0.0263%
A2A SpA,A2A,0.0263%
freenet AG,FNTN,0.0263%
Schibsted ASA,SCHB,0.0263%
Tecan Group AG,TECN,0.0261%
CNP Assurances SA,CNP,0.0261%
Hochtief AG,HOT,0.026%
Demant A/S,DEMANT,0.0259%
Saipem SpA,SPM,0.0258%
Hammerson PLC,HMSO,0.0258%
OneSavings Bank PLC,OSB,0.0258%
Eurazeo SE,RF,0.0257%
Allreal Holding AG,ALLN,0.0257%
Aggreko PLC,AGK,0.0255%
Elia System Operator SA,ELI,0.0255%
Victrex PLC,VCT,0.0253%
Lifco AB (publ),LIFCO.B,0.025%
Subsea 7 SA,SUBC,0.025%
Countryside Properties PLC,CSP,0.0247%
Vidrala SA,VID,0.0246%
Adevinta ASA,ADE,0.0246%
Ambu A/S,AMBU.B,0.0246%
AIB Group plc,A5G,0.0246%
Interpump Group SpA,IP,0.0245%
Grenke AG,GLJ,0.0244%
Cineworld Group PLC,CINE,0.0244%
SalMar ASA,SALM,0.0244%
Games Workshop Group PLC,GAW,0.0243%
Azimut Holding SpA,AZM,0.0243%
Qinetiq Group PLC,QQ.,0.0243%
Telefonica Deutschland Holding AG,O2D,0.0243%
National Express Group PLC,NEX,0.0242%
Genus PLC,GNS,0.0242%
Sweco AB (publ),SWEC.B,0.0241%
Euronav NV,EURN,0.024%
Talanx AG,TLX,0.0238%
UDG Healthcare plc,UDG,0.0238%
Mapfre SA,MAP,0.0238%
Dufry AG,DUFN,0.0237%
Great Portland Estates PLC,GPOR,0.0236%
Sopra Steria Group SA,SOP,0.0235%
Barco NV,BAR,0.0233%
Sophos Group PLC,SOPH,0.0231%
Dassault Aviation SA,AM,0.0231%
Serco Group PLC,SRP,0.0229%
Santander Bank Polska SA,SPL,0.0229%
Spie SA,SPIE,0.0229%
Big Yellow Group PLC,BYG,0.0228%
Wihlborgs Fastigheter AB,WIHL,0.0226%
HELLA GmbH & Co KgaA,HLE,0.0226%
Hexpol AB,HPOL.B,0.0226%
TeamViewer AG,TMV,0.0225%
Grafton Group PLC,GFTU,0.0225%
Metro AG,B4B,0.0225%
Londonmetric Property PLC,LMP,0.0225%
Grand City Properties SA,GYC,0.0224%
Bankia SA,BKIA,0.0224%
Remy Cointreau SA,RCO,0.0224%
Immofinanz AG,IIA,0.0223%
Unipol Gruppo SpA,UNI,0.0223%
Sunrise Communications Group AG,SRCG,0.0223%
Wallenstam AB,WALL.B,0.0221%
Schibsted ASA,SCHA,0.022%
Idorsia Ltd,IDIA,0.022%
John Laing Group PLC,JLG,0.0218%
Air France KLM SA,AF,0.0218%
Eutelsat Communications SA,ETL,0.0218%
Jupiter Fund Management PLC,JUP,0.0218%
Grainger PLC,GRI,0.0218%
AF Poyry AB,AF.B,0.0217%
SIG Combibloc Group AG,SIGN,0.0216%
Masmovil Ibercom SA,MAS,0.0216%
CA Immobilien Anlagen AG,CAI,0.0216%
Redrow PLC,RDW,0.0214%
Assura PLC,AGR,0.0214%
CGG SA,CGG,0.0214%
Primary Health Properties PLC,PHP,0.0213%
Moneysupermarket.Com Group PLC,MONY,0.0213%
Hufvudstaden AB,HUFV.A,0.0212%
Entra ASA,ENTRA,0.0211%
H Lundbeck A/S,LUN,0.0211%
Thule Group AB,THULE,0.021%
Infrastrutture Wireless Italiane SpA,INW,0.0209%
OC Oerlikon Corporation AG Pfaeffikon,OERL,0.0208%
K&S AG,SDF,0.0208%
Axfood AB,AXFO,0.0207%
Bodycote PLC,BOY,0.0207%
Balfour Beatty PLC,BBY,0.0207%
Topdanmark A/S,TOP,0.0206%
TKH Group NV,TWEKA,0.0206%
JCDecaux SA,DEC,0.0205%
Investment AB Latour,LATO.B,0.0204%
Casino Guichard Perrachon SA,CO,0.0204%
Glanbia PLC,GL9i,0.0204%
Capital & Counties Properties PLC,CAPC,0.0202%
Pirelli & C SpA,PIRC,0.0202%
Covivio Hotels SCA,COVH,0.0201%
Gaztransport et Technigaz SA,GTT,0.02%
Deutsche Pfandbriefbank AG,PBB,0.02%
William Hill PLC,WMH,0.0199%
Lagardere SCA,MMB,0.0199%
BAWAG Group AG,BG,0.0199%
Soitec SA,SOI,0.0199%
Computacenter PLC,CCC,0.0199%
Korian SA,KORI,0.0198%
Cranswick PLC,CWK,0.0196%
Marshalls PLC,MSLH,0.0196%
Safestore Holdings PLC,SAFE,0.0194%
Jyske Bank A/S,JYSK,0.0194%
Banca Mediolanum SpA,BMED,0.0193%
Bucher Industries AG,BUCN,0.0192%
Savills PLC,SVS,0.0192%
Sagax AB,SAGA.B,0.0192%
